ticker,name,sector,market,index_
2002.T,日清製粉グループ本社,,JP,Nikkei225
2269.T,明治ホールディングス,,JP,Nikkei225
2282.T,日本ハム,,JP,Nikkei225
2501.T,サッポロホールディングス,,JP,Nikkei225
2502.T,アサヒグループホールディングス,,JP,Nikkei225
2503.T,キリンホールディングス,,JP,Nikkei225
2801.T,キッコーマン,,JP,Nikkei225
2802.T,味の素,,JP,Nikkei225
2871.T,ニチレイ,,JP,Nikkei225
2914.T,日本たばこ産業,,JP,Nikkei225
3401.T,帝人,,JP,Nikkei225
3402.T,東レ,,JP,Nikkei225
3861.T,王子ホールディングス,,JP,Nikkei225
3405.T,クラレ,,JP,Nikkei225
3407.T,旭化成,,JP,Nikkei225
4004.T,レゾナック・ホールディングス,,JP,Nikkei225
4005.T,住友化学,,JP,Nikkei225
4021.T,日産化学,,JP,Nikkei225
4042.T,東ソー,,JP,Nikkei225
4043.T,トクヤマ,,JP,Nikkei225
4061.T,デンカ,,JP,Nikkei225
4063.T,信越化学工業,,JP,Nikkei225
4183.T,三井化学,,JP,Nikkei225
4188.T,三菱ケミカルグループ,,JP,Nikkei225
4208.T,UBE,,JP,Nikkei225
4452.T,花王,,JP,Nikkei225
4901.T,富士フイルムホールディングス,,JP,Nikkei225
4911.T,資生堂,,JP,Nikkei225
6988.T,日東電工,,JP,Nikkei225
4151.T,協和キリン,,JP,Nikkei225
4502.T,武田薬品工業,,JP,Nikkei225
4503.T,アステラス製薬,,JP,Nikkei225
4506.T,住友ファーマ,,JP,Nikkei225
4507.T,塩野義製薬,,JP,Nikkei225
4519.T,中外製薬,,JP,Nikkei225
4523.T,エーザイ,,JP,Nikkei225
4568.T,第一三共,,JP,Nikkei225
4578.T,大塚ホールディングス,,JP,Nikkei225
5019.T,出光興産,,JP,Nikkei225
5020.T,ENEOSホールディングス,,JP,Nikkei225
5101.T,横浜ゴム,,JP,Nikkei225
5108.T,ブリヂストン,,JP,Nikkei225
5201.T,AGC,,JP,Nikkei225
5214.T,日本電気硝子,,JP,Nikkei225
5233.T,太平洋セメント,,JP,Nikkei225
5301.T,東海カーボン,,JP,Nikkei225
5332.T,TOTO,,JP,Nikkei225
5333.T,NGK,,JP,Nikkei225
5401.T,日本製鉄,,JP,Nikkei225
5406.T,神戸製鋼所,,JP,Nikkei225
5411.T,JFEホールディングス,,JP,Nikkei225
3436.T,SUMCO,,JP,Nikkei225
5706.T,三井金属鉱業,,JP,Nikkei225
5711.T,三菱マテリアル,,JP,Nikkei225
5713.T,住友金属鉱山,,JP,Nikkei225
5714.T,DOWAホールディングス,,JP,Nikkei225
5801.T,古河電気工業,,JP,Nikkei225
5802.T,住友電気工業,,JP,Nikkei225
5803.T,フジクラ,,JP,Nikkei225
5631.T,日本製鋼所,,JP,Nikkei225
6103.T,オークマ,,JP,Nikkei225
6113.T,アマダ,,JP,Nikkei225
6273.T,SMC,,JP,Nikkei225
6301.T,小松製作所,,JP,Nikkei225
6302.T,住友重機械工業,,JP,Nikkei225
6305.T,日立建機,,JP,Nikkei225
6326.T,クボタ,,JP,Nikkei225
6361.T,荏原製作所,,JP,Nikkei225
6367.T,ダイキン工業,,JP,Nikkei225
6471.T,日本精工,,JP,Nikkei225
6472.T,NTN,,JP,Nikkei225
6473.T,ジェイテクト,,JP,Nikkei225
7004.T,カナデビア,,JP,Nikkei225
